    Depth        Gy       GyE       RBE        SL     Gy^-1     Gy^-2 LETm(keV/um)
     9.35     0.120     0.138     1.148     0.954     0.382     0.065       13.797
     9.36     0.120     0.137     1.148     0.954     0.382     0.065       13.792
     9.37     0.119     0.137     1.148     0.955     0.382     0.065       13.785
     9.38     0.119     0.136     1.147     0.955     0.382     0.065       13.777
     9.39     0.119     0.136     1.146     0.955     0.381     0.065       13.728
     9.40     0.118     0.136     1.146     0.955     0.381     0.065       13.702
     9.41     0.118     0.135     1.145     0.955     0.381     0.065       13.699
     9.42     0.117     0.134     1.144     0.955     0.381     0.065       13.673
     9.43     0.117     0.134     1.145     0.956     0.381     0.065       13.674
     9.44     0.117     0.133     1.142     0.956     0.380     0.065       13.581
     9.45     0.117     0.133     1.141     0.956     0.379     0.065       13.565
     9.46     0.116     0.133     1.142     0.956     0.380     0.065       13.592
     9.47     0.116     0.132     1.141     0.956     0.379     0.065       13.561
     9.48     0.115     0.131     1.139     0.956     0.379     0.065       13.488
     9.49     0.115     0.131     1.139     0.957     0.379     0.065       13.479
     9.50     0.115     0.131     1.139     0.957     0.379     0.065       13.490
     9.51     0.114     0.130     1.139     0.957     0.379     0.065       13.474
     9.52     0.114     0.130     1.138     0.957     0.378     0.065       13.460
